user_id,activity_count
user111,2
user909,2
user666,1
user404,1
user505,1
user112,1
user889,1
user343,1
user444,1
user777,1
user303,1
user223,1
user232,1
user313,1
user789,1
user222,1
user121,1
user787,1
user898,1
user515,1
user020,1
user616,1
user212,1
user919,1
user555,1
user990,1
user676,1
user717,1
user999,1
user445,1
user556,1
user010,1
user888,1
user123,1
user101,1
user606,1
user707,1
user818,1
user565,1
user808,1
user454,1
user414,1
user456,1
user202,1
user667,1
user778,1
user333,1
user334,1
