log_date,log_time,log_level,user_id,event_type,status_code,response_time_ms,timestamp
2026-05-17,10:15:55,INFO,user555,PROFILE_UPDATED,200,90,2026-05-17T10:15:55.000+05:30
2026-05-17,10:16:10,WARN,user888,SLOW_API_RESPONSE,200,4200,2026-05-17T10:16:10.000+05:30
2026-05-17,10:16:15,INFO,user999,LOGOUT_SUCCESS,200,80,2026-05-17T10:16:15.000+05:30
2026-05-17,10:17:20,ERROR,user445,SESSION_CREATION_FAILED,500,2700,2026-05-17T10:17:20.000+05:30
2026-05-17,10:17:25,INFO,user556,PAYMENT_SUCCESS,200,220,2026-05-17T10:17:25.000+05:30
2026-05-17,10:17:45,INFO,user990,SUBSCRIPTION_RENEWED,200,160,2026-05-17T10:17:45.000+05:30
2026-05-17,10:18:15,INFO,user676,SETTINGS_UPDATED,200,85,2026-05-17T10:18:15.000+05:30
2026-05-17,10:18:35,INFO,user010,DASHBOARD_VIEW,200,70,2026-05-17T10:18:35.000+05:30
2026-05-17,10:18:40,ERROR,user111,MICROSERVICE_FAILURE,500,3300,2026-05-17T10:18:40.000+05:30
2026-05-17,10:18:45,INFO,user212,API_CALL_SUCCESS,200,115,2026-05-17T10:18:45.000+05:30
2026-05-17,10:19:10,WARN,user717,MEMORY_LEAK_DETECTED,300,4900,2026-05-17T10:19:10.000+05:30
2026-05-17,10:19:20,ERROR,user919,AUTHENTICATION_FAILED,401,180,2026-05-17T10:19:20.000+05:30
