log_date,log_time,log_level,user_id,event_type,status_code,response_time_ms,timestamp
2026-05-17,10:15:21,INFO,user123,LOGIN_SUCCESS,200,120,2026-05-17T10:15:21.000+05:30
2026-05-17,10:15:35,INFO,user111,FILE_UPLOAD,201,450,2026-05-17T10:15:35.000+05:30
2026-05-17,10:16:20,ERROR,user101,PAYMENT_GATEWAY_TIMEOUT,504,5000,2026-05-17T10:16:20.000+05:30
2026-05-17,10:16:45,INFO,user606,PRODUCT_VIEWED,200,60,2026-05-17T10:16:45.000+05:30
2026-05-17,10:16:50,WARN,user707,DISK_SPACE_LOW,300,3500,2026-05-17T10:16:50.000+05:30
2026-05-17,10:16:55,INFO,user808,ACCOUNT_CREATED,201,170,2026-05-17T10:16:55.000+05:30
2026-05-17,10:17:00,ERROR,user909,TOKEN_EXPIRED,401,250,2026-05-17T10:17:00.000+05:30
2026-05-17,10:18:05,INFO,user454,CART_CHECKOUT,200,300,2026-05-17T10:18:05.000+05:30
2026-05-17,10:18:10,WARN,user565,THIRD_PARTY_API_DELAY,300,4500,2026-05-17T10:18:10.000+05:30
2026-05-17,10:18:55,INFO,user414,USER_PREFERENCES_UPDATED,200,95,2026-05-17T10:18:55.000+05:30
2026-05-17,10:19:15,INFO,user818,DOWNLOAD_COMPLETED,200,310,2026-05-17T10:19:15.000+05:30
