log_date,log_time,log_level,user_id,event_type,status_code,response_time_ms,timestamp
2026-05-17,10:15:30,WARN,user789,API_TIMEOUT,408,2000,2026-05-17T10:15:30.000+05:30
2026-05-17,10:15:40,ERROR,user222,DATABASE_CONNECTION_FAILED,500,1800,2026-05-17T10:15:40.000+05:30
2026-05-17,10:15:50,WARN,user444,HIGH_MEMORY_USAGE,300,2500,2026-05-17T10:15:50.000+05:30
2026-05-17,10:16:00,ERROR,user666,ORDER_PROCESSING_FAILED,502,3200,2026-05-17T10:16:00.000+05:30
2026-05-17,10:16:05,INFO,user777,ITEM_ADDED_TO_CART,200,110,2026-05-17T10:16:05.000+05:30
2026-05-17,10:16:30,WARN,user303,CACHE_MISS,404,700,2026-05-17T10:16:30.000+05:30
2026-05-17,10:16:35,INFO,user404,EMAIL_SENT,202,130,2026-05-17T10:16:35.000+05:30
2026-05-17,10:16:40,ERROR,user505,INVENTORY_UPDATE_FAILED,500,2100,2026-05-17T10:16:40.000+05:30
2026-05-17,10:17:05,INFO,user112,ADDRESS_UPDATED,200,100,2026-05-17T10:17:05.000+05:30
2026-05-17,10:17:10,WARN,user223,RETRYING_EXTERNAL_API,300,1900,2026-05-17T10:17:10.000+05:30
2026-05-17,10:17:40,ERROR,user889,SERVICE_UNAVAILABLE,503,3500,2026-05-17T10:17:40.000+05:30
2026-05-17,10:17:50,WARN,user121,CPU_USAGE_HIGH,300,2800,2026-05-17T10:17:50.000+05:30
2026-05-17,10:17:55,INFO,user232,REPORT_GENERATED,200,500,2026-05-17T10:17:55.000+05:30
2026-05-17,10:18:00,ERROR,user343,DATA_VALIDATION_FAILED,422,900,2026-05-17T10:18:00.000+05:30
2026-05-17,10:18:20,ERROR,user787,FILE_PROCESSING_FAILED,500,2900,2026-05-17T10:18:20.000+05:30
2026-05-17,10:18:25,INFO,user898,NOTIFICATION_SENT,200,125,2026-05-17T10:18:25.000+05:30
2026-05-17,10:18:50,WARN,user313,LARGE_RESPONSE_TIME,300,4700,2026-05-17T10:18:50.000+05:30
2026-05-17,10:19:00,ERROR,user515,ETL_JOB_FAILED,500,5200,2026-05-17T10:19:00.000+05:30
2026-05-17,10:19:05,INFO,user616,TRANSACTION_COMPLETED,200,240,2026-05-17T10:19:05.000+05:30
2026-05-17,10:19:25,INFO,user020,USER_LOGOUT,200,65,2026-05-17T10:19:25.000+05:30
